scenario,sample_id,P01_R1,P01_R2,P01_R3,P01_R4,P01_R5,P01_R6,P01_R7,P01_R8,P01_R9,P02_R1,P02_R2,P02_R3,P02_R4,P02_R5,P02_R6,P02_R7,P02_R8,P02_R9,P03_R1,P03_R2,P03_R3,P03_R4,P03_R5,P03_R6,P03_R7,P03_R8,P03_R9,P04_R1,P04_R2,P04_R3,P04_R4,P04_R5,P04_R6,P04_R7,P04_R8,P04_R9,P05_R1,P05_R2,P05_R3,P05_R4,P05_R5,P05_R6,P05_R7,P05_R8,P05_R9,P06_R1,P06_R2,P06_R3,P06_R4,P06_R5,P06_R6,P06_R7,P06_R8,P06_R9,P07_R1,P07_R2,P07_R3,P07_R4,P07_R5,P07_R6,P07_R7,P07_R8,P07_R9,P08_R1,P08_R2,P08_R3,P08_R4,P08_R5,P08_R6,P08_R7,P08_R8,P08_R9,P09_R1,P09_R2,P09_R3,P09_R4,P09_R5,P09_R6,P09_R7,P09_R8,P09_R9,P10_R1,P10_R2,P10_R3,P10_R4,P10_R5,P10_R6,P10_R7,P10_R8,P10_R9,P11_R1,P11_R2,P11_R3,P11_R4,P11_R5,P11_R6,P11_R7,P11_R8,P11_R9,P12_R1,P12_R2,P12_R3,P12_R4,P12_R5,P12_R6,P12_R7,P12_R8,P12_R9,P13_R1,P13_R2,P13_R3,P13_R4,P13_R5,P13_R6,P13_R7,P13_R8,P13_R9,P14_R1,P14_R2,P14_R3,P14_R4,P14_R5,P14_R6,P14_R7,P14_R8,P14_R9,P15_R1,P15_R2,P15_R3,P15_R4,P15_R5,P15_R6,P15_R7,P15_R8,P15_R9,P16_R1,P16_R2,P16_R3,P16_R4,P16_R5,P16_R6,P16_R7,P16_R8,P16_R9,P17_R1,P17_R2,P17_R3,P17_R4,P17_R5,P17_R6,P17_R7,P17_R8,P17_R9,P18_R1,P18_R2,P18_R3,P18_R4,P18_R5,P18_R6,P18_R7,P18_R8,P18_R9,P19_R1,P19_R2,P19_R3,P19_R4,P19_R5,P19_R6,P19_R7,P19_R8,P19_R9,P20_R1,P20_R2,P20_R3,P20_R4,P20_R5,P20_R6,P20_R7,P20_R8,P20_R9,P21_R1,P21_R2,P21_R3,P21_R4,P21_R5,P21_R6,P21_R7,P21_R8,P21_R9,P22_R1,P22_R2,P22_R3,P22_R4,P22_R5,P22_R6,P22_R7,P22_R8,P22_R9,P23_R1,P23_R2,P23_R3,P23_R4,P23_R5,P23_R6,P23_R7,P23_R8,P23_R9,P24_R1,P24_R2,P24_R3,P24_R4,P24_R5,P24_R6,P24_R7,P24_R8,P24_R9,P25_R1,P25_R2,P25_R3,P25_R4,P25_R5,P25_R6,P25_R7,P25_R8,P25_R9,P26_R1,P26_R2,P26_R3,P26_R4,P26_R5,P26_R6,P26_R7,P26_R8,P26_R9,P27_R1,P27_R2,P27_R3,P27_R4,P27_R5,P27_R6,P27_R7,P27_R8,P27_R9,P28_R1,P28_R2,P28_R3,P28_R4,P28_R5,P28_R6,P28_R7,P28_R8,P28_R9,P29_R1,P29_R2,P29_R3,P29_R4,P29_R5,P29_R6,P29_R7,P29_R8,P29_R9,P30_R1,P30_R2,P30_R3,P30_R4,P30_R5,P30_R6,P30_R7,P30_R8,P30_R9,P31_R1,P31_R2,P31_R3,P31_R4,P31_R5,P31_R6,P31_R7,P31_R8,P31_R9,P32_R1,P32_R2,P32_R3,P32_R4,P32_R5,P32_R6,P32_R7,P32_R8,P32_R9,P33_R1,P33_R2,P33_R3,P33_R4,P33_R5,P33_R6,P33_R7,P33_R8,P33_R9,P34_R1,P34_R2,P34_R3,P34_R4,P34_R5,P34_R6,P34_R7,P34_R8,P34_R9,P35_R1,P35_R2,P35_R3,P35_R4,P35_R5,P35_R6,P35_R7,P35_R8,P35_R9,P36_R1,P36_R2,P36_R3,P36_R4,P36_R5,P36_R6,P36_R7,P36_R8,P36_R9,P37_R1,P37_R2,P37_R3,P37_R4,P37_R5,P37_R6,P37_R7,P37_R8,P37_R9,P38_R1,P38_R2,P38_R3,P38_R4,P38_R5,P38_R6,P38_R7,P38_R8,P38_R9,P39_R1,P39_R2,P39_R3,P39_R4,P39_R5,P39_R6,P39_R7,P39_R8,P39_R9,P40_R1,P40_R2,P40_R3,P40_R4,P40_R5,P40_R6,P40_R7,P40_R8,P40_R9,P41_R1,P41_R2,P41_R3,P41_R4,P41_R5,P41_R6,P41_R7,P41_R8,P41_R9,P42_R1,P42_R2,P42_R3,P42_R4,P42_R5,P42_R6,P42_R7,P42_R8,P42_R9,P43_R1,P43_R2,P43_R3,P43_R4,P43_R5,P43_R6,P43_R7,P43_R8,P43_R9,P44_R1,P44_R2,P44_R3,P44_R4,P44_R5,P44_R6,P44_R7,P44_R8,P44_R9,P45_R1,P45_R2,P45_R3,P45_R4,P45_R5,P45_R6,P45_R7,P45_R8,P45_R9,P46_R1,P46_R2,P46_R3,P46_R4,P46_R5,P46_R6,P46_R7,P46_R8,P46_R9,P47_R1,P47_R2,P47_R3,P47_R4,P47_R5,P47_R6,P47_R7,P47_R8,P47_R9,P48_R1,P48_R2,P48_R3,P48_R4,P48_R5,P48_R6,P48_R7,P48_R8,P48_R9,P49_R1,P49_R2,P49_R3,P49_R4,P49_R5,P49_R6,P49_R7,P49_R8,P49_R9,P50_R1,P50_R2,P50_R3,P50_R4,P50_R5,P50_R6,P50_R7,P50_R8,P50_R9
1,0,25,8,8,9,1,0,26,8,8,37,12,30,12,0,0,33,0,11,12,4,5,4,0,0,11,0,4,18,6,19,6,0,0,18,0,6,12,4,5,4,0,0,13,0,4,17,6,19,6,0,0,17,0,6,12,4,5,4,0,0,12,0,4,18,6,21,6,0,0,17,0,6,12,4,5,4,0,0,13,0,4,18,6,21,6,0,0,18,0,6,11,4,5,4,0,0,13,0,4,18,6,21,6,0,0,19,0,5,13,4,5,4,0,0,11,0,4,18,6,20,6,0,0,18,0,6,12,4,5,4,0,0,13,0,4,18,6,19,6,0,0,18,0,6,12,4,5,4,0,0,11,0,4,18,7,20,6,0,0,18,0,5,12,4,6,4,0,0,12,0,4,17,6,21,6,0,0,17,0,6,11,4,6,4,0,0,12,0,4,18,5,20,6,0,0,18,0,6,13,4,5,4,0,0,11,0,4,19,5,20,6,0,0,19,0,6,11,4,5,4,0,0,12,0,4,18,6,20,7,0,0,18,0,6,12,4,5,4,0,0,11,0,4,18,6,21,6,0,0,17,0,6,11,4,5,4,0,0,13,0,4,19,6,22,6,0,0,17,0,6,12,4,5,4,0,0,12,0,4,17,6,21,6,0,0,17,0,6,12,4,5,4,0,0,11,0,4,18,6,21,6,0,0,17,0,6,12,4,6,4,0,0,13,0,4,18,6,21,6,0,0,18,0,6,12,5,4,4,0,0,11,0,4,19,6,19,6,0,0,18,0,6,12,4,5,5,0,0,12,0,3,18,6,21,6,0,0,18,0,6,13,4,5,4,0,0,12,0,5,18,6,21,7,0,0,19,0,5,24,9,0,8,0,9,23,8,6,34,12,0,10,0,6,35,0,12,39,10,0,14,0,6,37,0,12,35,12,0,11,0,7,39,0,10,40,9,0,12,0,7,35,0,12,35,11,0,13,0,6,38,0,12,38,13,0,11,0,7,37,0,12,48,18,0,15,0,0,48,16,0
1,1,26,9,8,9,1,0,24,8,8,36,12,29,13,0,0,35,0,11,13,4,5,4,0,0,12,0,4,18,6,21,6,0,0,17,0,6,12,4,5,4,0,0,12,0,4,18,6,19,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,18,6,20,6,0,0,18,0,7,12,4,5,4,0,0,12,0,4,18,6,20,6,0,0,19,0,6,13,4,5,4,0,0,13,0,4,17,6,19,6,0,0,17,0,6,12,5,5,4,0,0,11,0,4,17,7,21,6,0,0,17,0,6,12,4,4,4,0,0,12,0,4,18,6,19,6,0,0,18,0,6,12,4,4,4,0,0,12,0,4,19,6,21,6,0,0,19,0,7,12,4,5,4,0,0,11,0,4,19,5,19,5,0,0,18,0,6,13,4,6,4,0,0,11,0,4,18,6,19,6,0,0,17,0,6,12,4,5,4,0,0,12,0,4,17,6,20,6,0,0,18,0,6,12,4,6,4,0,0,12,0,4,18,6,20,6,0,0,18,0,6,12,3,4,4,0,0,13,0,4,18,6,22,6,0,0,18,0,6,11,4,5,4,0,0,12,0,4,19,6,20,6,0,0,18,0,6,13,4,5,4,0,0,11,0,4,19,7,19,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,18,6,20,6,0,0,18,0,6,12,4,4,4,0,0,12,0,4,17,5,19,6,0,0,18,0,6,12,3,5,4,0,0,12,0,4,17,6,21,6,0,0,19,0,6,12,4,4,4,0,0,12,0,4,18,6,20,6,0,0,19,0,6,12,4,5,4,0,0,12,0,4,18,7,21,6,0,0,19,0,6,22,7,0,7,0,8,26,8,8,38,9,0,12,0,6,38,0,12,35,13,0,15,0,7,35,0,11,38,11,0,12,0,7,37,0,13,35,12,0,11,0,7,38,0,11,38,14,0,13,0,6,33,0,10,39,13,0,12,0,6,41,0,12,48,17,0,17,0,0,46,16,0
1,2,27,9,8,8,1,0,24,8,7,38,12,30,11,0,0,34,0,13,12,4,5,4,0,0,13,0,4,17,6,20,5,0,0,18,0,6,12,5,5,4,0,0,11,0,5,18,6,20,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,19,5,21,6,0,0,17,0,6,12,4,5,4,0,0,13,0,4,19,6,19,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,19,6,20,6,0,0,18,0,6,11,4,5,4,0,0,13,0,4,17,5,20,6,0,0,19,0,5,13,4,5,4,0,0,12,0,4,19,6,20,6,0,0,18,0,6,11,4,5,4,0,0,12,0,4,18,6,19,6,0,0,17,0,6,11,4,5,4,0,0,13,0,5,19,5,19,6,0,0,18,0,6,12,4,5,4,0,0,11,0,4,17,6,21,6,0,0,20,0,6,12,4,5,4,0,0,12,0,5,18,6,20,6,0,0,19,0,6,13,4,5,4,0,0,13,0,4,17,6,20,6,0,0,18,0,6,11,4,5,4,0,0,13,0,4,18,6,19,6,0,0,18,0,6,11,4,5,4,0,0,12,0,4,18,6,20,6,0,0,18,0,6,12,4,5,4,0,0,11,0,4,18,6,20,6,0,0,17,0,6,13,4,5,4,0,0,13,0,5,18,6,21,7,0,0,18,0,6,12,4,5,4,0,0,11,0,4,18,7,19,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,20,6,20,6,0,0,18,0,6,13,4,5,4,0,0,12,0,4,18,6,19,7,0,0,19,0,6,12,4,5,4,0,0,13,0,4,17,6,20,6,0,0,19,0,6,24,8,0,9,0,8,24,9,8,40,13,0,12,0,7,38,0,13,38,14,0,14,0,6,36,0,14,34,12,0,11,0,7,36,0,12,33,13,0,13,0,6,36,0,12,39,12,0,12,0,7,35,0,12,38,11,0,12,0,7,33,0,11,49,18,0,16,0,0,52,15,0
1,3,21,8,7,7,1,0,23,8,9,37,12,32,11,0,0,34,0,12,12,4,5,4,0,0,11,0,4,18,6,20,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,18,7,20,6,0,0,18,0,6,13,4,5,3,0,0,12,0,3,17,6,21,6,0,0,17,0,6,12,4,6,4,0,0,12,0,4,18,5,20,6,0,0,17,0,6,13,4,5,4,0,0,13,0,4,18,6,20,6,0,0,19,0,6,13,4,5,4,0,0,13,0,4,19,6,20,6,0,0,18,0,6,12,4,5,5,0,0,13,0,4,18,6,20,6,0,0,18,0,5,12,4,5,5,0,0,11,0,4,18,6,21,6,0,0,19,0,6,12,4,5,3,0,0,13,0,4,18,6,20,6,0,0,18,0,6,12,4,5,4,0,0,13,0,3,19,5,20,6,0,0,17,0,6,12,4,5,4,0,0,12,0,4,19,6,19,6,0,0,19,0,6,12,4,5,5,0,0,12,0,4,19,6,20,6,0,0,18,0,6,12,4,5,4,0,0,12,0,3,19,6,21,5,0,0,19,0,6,13,4,5,4,0,0,12,0,5,18,6,21,6,0,0,18,0,6,14,4,5,4,0,0,13,0,4,18,6,21,6,0,0,18,0,6,12,4,5,4,0,0,13,0,4,18,6,21,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,17,6,21,6,0,0,17,0,5,12,4,6,4,0,0,12,0,5,19,6,18,7,0,0,17,0,5,13,5,5,4,0,0,12,0,4,19,6,20,6,0,0,17,0,6,11,4,5,4,0,0,12,0,4,19,5,19,6,0,0,17,0,6,25,7,0,8,0,8,24,7,8,36,13,0,12,0,7,35,0,12,37,12,0,12,0,6,33,0,14,33,11,0,11,0,6,39,0,11,37,11,0,15,0,7,37,0,13,36,12,0,12,0,7,41,0,11,33,12,0,15,0,8,40,0,11,49,18,0,15,0,0,47,15,0
1,4,23,7,8,7,1,0,24,8,7,37,13,29,13,0,0,37,0,12,12,4,5,4,0,0,11,0,4,17,6,19,6,0,0,19,0,6,12,4,5,4,0,0,12,0,5,18,6,20,6,0,0,18,0,6,13,4,5,3,0,0,12,0,4,17,6,22,6,0,0,19,0,6,12,4,5,4,0,0,12,0,4,19,6,19,6,0,0,17,0,6,12,4,5,4,0,0,13,0,4,18,6,19,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,17,6,20,6,0,0,18,0,7,13,4,5,4,0,0,12,0,4,18,6,20,6,0,0,18,0,6,13,4,5,3,0,0,13,0,4,18,6,19,6,0,0,19,0,6,10,4,5,4,0,0,12,0,4,18,6,19,6,0,0,18,0,6,11,4,5,4,0,0,13,0,4,17,6,20,6,0,0,19,0,6,13,4,5,5,0,0,12,0,4,18,6,21,6,0,0,17,0,6,12,5,5,4,0,0,12,0,4,17,6,20,6,0,0,18,0,6,12,4,5,4,0,0,13,0,4,18,6,20,6,0,0,19,0,6,13,4,5,5,0,0,12,0,4,19,6,19,6,0,0,17,0,7,11,4,5,4,0,0,13,0,4,18,6,20,6,0,0,19,0,6,12,4,5,4,0,0,11,0,4,18,6,20,6,0,0,18,0,6,13,4,6,4,0,0,11,0,4,18,6,20,6,0,0,17,0,6,11,4,5,5,0,0,12,0,4,18,6,20,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,18,7,20,6,0,0,19,0,6,11,3,5,4,0,0,14,0,4,18,7,21,7,0,0,19,0,6,25,9,0,8,0,8,24,8,8,38,12,0,14,0,6,34,0,10,36,12,0,14,0,6,40,0,14,37,12,0,11,0,7,40,0,14,35,11,0,12,0,7,36,0,11,33,13,0,11,0,5,36,0,14,39,11,0,11,0,6,37,0,13,51,16,0,16,0,0,46,16,0
1,5,25,9,7,9,1,0,23,7,9,37,12,30,12,0,0,34,0,12,13,4,5,4,0,0,12,0,4,17,6,20,6,0,0,18,0,6,11,4,5,4,0,0,12,0,4,17,6,19,5,0,0,18,0,6,10,4,5,5,0,0,12,0,4,18,6,20,6,0,0,18,0,6,12,5,5,4,0,0,12,0,3,19,6,20,7,0,0,18,0,6,12,4,5,4,0,0,13,0,4,19,6,20,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,17,6,21,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,19,7,20,6,0,0,18,0,6,12,4,5,4,0,0,11,0,4,19,6,19,6,0,0,19,0,6,11,4,5,4,0,0,12,0,4,18,6,21,6,0,0,19,0,7,13,4,5,4,0,0,11,0,4,17,6,20,6,0,0,18,0,6,12,4,5,4,0,0,12,0,5,17,6,20,6,0,0,18,0,6,12,4,5,4,0,0,12,0,5,18,6,21,6,0,0,17,0,6,12,4,5,4,0,0,12,0,4,18,6,20,6,0,0,17,0,6,12,4,5,5,0,0,12,0,4,18,6,21,5,0,0,17,0,6,13,5,5,4,0,0,12,0,4,17,6,21,6,0,0,18,0,6,10,4,5,3,0,0,12,0,4,18,6,21,6,0,0,19,0,6,12,3,5,4,0,0,13,0,4,18,6,20,7,0,0,18,0,6,12,4,5,4,0,0,12,0,4,17,6,19,6,0,0,18,0,6,12,4,5,4,0,0,11,0,4,18,6,20,6,0,0,18,0,6,13,4,6,4,0,0,12,0,3,17,5,20,6,0,0,17,0,6,24,8,0,9,0,8,23,7,8,36,11,0,12,0,6,35,0,12,37,11,0,14,0,7,37,0,12,38,12,0,11,0,6,36,0,12,36,12,0,9,0,7,36,0,11,39,11,0,13,0,6,40,0,10,38,13,0,11,0,6,37,0,12,48,17,0,17,0,0,51,15,0
1,6,25,9,7,8,1,0,24,8,9,38,12,30,11,0,0,35,0,13,13,4,5,4,0,0,12,0,4,18,6,20,6,0,0,18,0,6,12,4,5,4,0,0,13,0,4,18,6,20,6,0,0,18,0,6,12,3,5,4,0,0,12,0,5,19,6,20,5,0,0,18,0,6,12,4,5,3,0,0,12,0,4,18,7,19,5,0,0,18,0,6,13,4,5,4,0,0,12,0,5,17,6,20,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,18,6,20,5,0,0,19,0,6,12,4,5,3,0,0,14,0,4,18,6,20,6,0,0,18,0,6,12,4,5,4,0,0,13,0,4,16,6,20,6,0,0,18,0,6,13,4,5,4,0,0,11,0,4,19,6,20,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,19,6,19,6,0,0,18,0,6,12,4,5,3,0,0,12,0,4,17,6,21,5,0,0,17,0,6,11,4,5,4,0,0,11,0,4,17,6,20,6,0,0,17,0,5,12,5,5,4,0,0,12,0,4,17,6,20,6,0,0,20,0,6,12,4,4,4,0,0,12,0,4,18,6,21,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,17,6,21,6,0,0,18,0,6,12,4,5,4,0,0,12,0,3,18,6,21,6,0,0,19,0,6,12,4,5,4,0,0,13,0,4,18,6,20,6,0,0,16,0,6,11,4,5,4,0,0,13,0,4,18,6,19,6,0,0,18,0,6,11,3,5,4,0,0,11,0,4,19,6,21,6,0,0,18,0,6,12,4,5,4,0,0,11,0,4,18,6,19,5,0,0,18,0,7,25,8,0,8,0,8,23,9,8,38,13,0,12,0,7,35,0,11,36,14,0,10,0,7,36,0,12,37,12,0,14,0,6,36,0,10,36,14,0,12,0,6,35,0,11,35,14,0,13,0,7,37,0,14,39,11,0,11,0,6,37,0,13,48,16,0,16,0,0,52,15,0
1,7,24,9,8,8,1,0,26,7,9,34,12,30,12,0,0,34,0,12,13,4,5,4,0,0,12,0,4,18,6,21,6,0,0,18,0,6,11,4,5,4,0,0,12,0,4,17,6,21,6,0,0,18,0,6,12,4,6,4,0,0,12,0,4,18,6,20,6,0,0,19,0,6,11,4,5,4,0,0,11,0,4,17,6,20,6,0,0,18,0,6,12,4,6,3,0,0,13,0,4,17,6,20,6,0,0,18,0,7,11,4,5,4,0,0,13,0,4,16,6,20,6,0,0,19,0,6,12,4,4,4,0,0,12,0,4,18,6,20,6,0,0,17,0,6,12,4,5,4,0,0,11,0,4,19,6,20,6,0,0,19,0,6,12,4,6,4,0,0,12,0,4,17,6,20,6,0,0,18,0,5,13,4,5,4,0,0,13,0,5,18,6,20,6,0,0,18,0,7,12,4,5,4,0,0,13,0,4,18,6,20,6,0,0,18,0,7,12,4,5,4,0,0,12,0,4,18,6,19,6,0,0,19,0,6,12,4,5,4,0,0,12,0,4,18,6,19,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,19,6,20,6,0,0,17,0,6,11,4,4,4,0,0,12,0,5,18,5,19,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,18,6,19,6,0,0,18,0,6,12,4,5,4,0,0,13,0,4,17,6,19,6,0,0,18,0,6,11,4,5,4,0,0,12,0,4,18,6,21,6,0,0,17,0,6,13,4,5,5,0,0,11,0,4,19,6,20,6,0,0,18,0,6,13,4,5,4,0,0,11,0,4,18,6,21,6,0,0,18,0,6,24,8,0,8,0,8,25,8,7,40,14,0,10,0,6,37,0,12,36,11,0,11,0,6,36,0,11,37,14,0,11,0,7,37,0,12,38,13,0,10,0,7,34,0,12,37,12,0,13,0,6,33,0,12,38,12,0,14,0,7,35,0,14,52,15,0,15,0,0,47,16,0
1,8,24,7,7,8,1,0,22,8,8,36,13,30,12,0,0,37,0,12,12,4,5,5,0,0,13,0,4,17,6,20,6,0,0,18,0,6,12,4,4,4,0,0,11,0,4,20,6,20,6,0,0,18,0,6,12,5,5,4,0,0,11,0,4,17,6,20,6,0,0,19,0,6,12,4,5,4,0,0,12,0,5,18,6,20,6,0,0,19,0,5,11,5,5,4,0,0,12,0,3,18,6,21,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,18,6,19,6,0,0,18,0,7,11,4,5,4,0,0,13,0,4,18,6,21,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,18,6,19,6,0,0,18,0,6,12,3,5,4,0,0,11,0,4,18,6,19,6,0,0,19,0,6,11,4,5,4,0,0,12,0,4,18,6,21,6,0,0,19,0,6,13,4,5,4,0,0,12,0,4,18,6,20,6,0,0,18,0,7,13,4,5,4,0,0,12,0,5,18,6,20,6,0,0,17,0,6,11,4,5,4,0,0,13,0,4,19,6,21,6,0,0,19,0,6,12,4,5,4,0,0,11,0,4,17,6,19,6,0,0,18,0,6,12,4,5,4,0,0,11,0,4,17,6,20,6,0,0,18,0,6,12,4,5,4,0,0,11,0,4,18,6,20,6,0,0,18,0,6,13,4,5,4,0,0,13,0,4,19,7,21,6,0,0,19,0,6,12,4,6,4,0,0,13,0,4,17,6,19,6,0,0,19,0,6,12,5,5,4,0,0,13,0,5,18,6,21,6,0,0,18,0,6,13,4,5,5,0,0,12,0,4,18,7,21,6,0,0,18,0,6,25,6,0,8,0,7,24,8,9,39,11,0,12,0,6,36,0,11,34,13,0,13,0,7,35,0,12,38,12,0,13,0,6,36,0,11,36,10,0,11,0,6,35,0,12,37,13,0,11,0,6,35,0,12,34,10,0,11,0,7,35,0,11,46,16,0,15,0,0,44,16,0
1,9,24,8,9,8,1,0,22,8,7,37,12,30,12,0,0,38,0,12,13,4,5,4,0,0,12,0,3,18,6,20,6,0,0,18,0,7,13,4,5,4,0,0,11,0,4,19,6,20,6,0,0,19,0,7,13,4,5,3,0,0,13,0,4,18,6,20,6,0,0,18,0,6,12,4,5,4,0,0,13,0,4,18,6,21,6,0,0,18,0,6,11,4,5,4,0,0,11,0,4,18,6,20,6,0,0,17,0,6,12,4,5,4,0,0,12,0,4,17,5,20,6,0,0,16,0,6,12,4,5,4,0,0,12,0,3,19,6,20,7,0,0,17,0,7,12,4,5,4,0,0,12,0,4,17,6,20,6,0,0,18,0,6,12,4,5,4,0,0,12,0,5,18,6,20,6,0,0,18,0,6,12,4,5,4,0,0,12,0,4,19,6,21,6,0,0,17,0,6,13,4,5,4,0,0,11,0,4,19,6,20,6,0,0,18,0,6,12,3,5,3,0,0,13,0,4,18,7,19,7,0,0,19,0,6,13,4,5,4,0,0,12,0,4,19,6,20,6,0,0,17,0,6,11,4,5,5,0,0,13,0,4,19,6,20,6,0,0,18,0,6,12,4,4,4,0,0,12,0,4,17,7,21,6,0,0,18,0,6,11,4,5,4,0,0,12,0,4,17,6,20,7,0,0,18,0,6,12,3,5,4,0,0,12,0,4,17,6,20,6,0,0,17,0,5,12,4,5,4,0,0,12,0,4,17,6,20,6,0,0,18,0,6,10,4,5,4,0,0,12,0,4,18,6,19,6,0,0,18,0,6,12,4,5,3,0,0,13,0,4,18,6,19,6,0,0,18,0,6,26,7,0,8,0,7,24,8,8,36,11,0,10,0,8,36,0,12,37,10,0,14,0,8,34,0,14,38,13,0,12,0,7,36,0,9,34,12,0,12,0,7,32,0,12,32,13,0,12,0,6,39,0,13,37,12,0,13,0,7,39,0,13,46,16,0,14,0,0,49,15,0
