scenario,sample_id,P01_R1,P01_R2,P01_R3,P01_R4,P01_R5,P01_R6,P02_R1,P02_R2,P02_R3,P02_R4,P02_R5,P02_R6,P03_R1,P03_R2,P03_R3,P03_R4,P03_R5,P03_R6,P04_R1,P04_R2,P04_R3,P04_R4,P04_R5,P04_R6,P05_R1,P05_R2,P05_R3,P05_R4,P05_R5,P05_R6,P06_R1,P06_R2,P06_R3,P06_R4,P06_R5,P06_R6,P07_R1,P07_R2,P07_R3,P07_R4,P07_R5,P07_R6,P08_R1,P08_R2,P08_R3,P08_R4,P08_R5,P08_R6,P09_R1,P09_R2,P09_R3,P09_R4,P09_R5,P09_R6,P10_R1,P10_R2,P10_R3,P10_R4,P10_R5,P10_R6,P11_R1,P11_R2,P11_R3,P11_R4,P11_R5,P11_R6,P12_R1,P12_R2,P12_R3,P12_R4,P12_R5,P12_R6,P13_R1,P13_R2,P13_R3,P13_R4,P13_R5,P13_R6,P14_R1,P14_R2,P14_R3,P14_R4,P14_R5,P14_R6,P15_R1,P15_R2,P15_R3,P15_R4,P15_R5,P15_R6,P16_R1,P16_R2,P16_R3,P16_R4,P16_R5,P16_R6,P17_R1,P17_R2,P17_R3,P17_R4,P17_R5,P17_R6,P18_R1,P18_R2,P18_R3,P18_R4,P18_R5,P18_R6,P19_R1,P19_R2,P19_R3,P19_R4,P19_R5,P19_R6,P20_R1,P20_R2,P20_R3,P20_R4,P20_R5,P20_R6,P21_R1,P21_R2,P21_R3,P21_R4,P21_R5,P21_R6,P22_R1,P22_R2,P22_R3,P22_R4,P22_R5,P22_R6,P23_R1,P23_R2,P23_R3,P23_R4,P23_R5,P23_R6,P24_R1,P24_R2,P24_R3,P24_R4,P24_R5,P24_R6,P25_R1,P25_R2,P25_R3,P25_R4,P25_R5,P25_R6,P26_R1,P26_R2,P26_R3,P26_R4,P26_R5,P26_R6,P27_R1,P27_R2,P27_R3,P27_R4,P27_R5,P27_R6,P28_R1,P28_R2,P28_R3,P28_R4,P28_R5,P28_R6,P29_R1,P29_R2,P29_R3,P29_R4,P29_R5,P29_R6,P30_R1,P30_R2,P30_R3,P30_R4,P30_R5,P30_R6,P31_R1,P31_R2,P31_R3,P31_R4,P31_R5,P31_R6,P32_R1,P32_R2,P32_R3,P32_R4,P32_R5,P32_R6,P33_R1,P33_R2,P33_R3,P33_R4,P33_R5,P33_R6,P34_R1,P34_R2,P34_R3,P34_R4,P34_R5,P34_R6,P35_R1,P35_R2,P35_R3,P35_R4,P35_R5,P35_R6,P36_R1,P36_R2,P36_R3,P36_R4,P36_R5,P36_R6,P37_R1,P37_R2,P37_R3,P37_R4,P37_R5,P37_R6,P38_R1,P38_R2,P38_R3,P38_R4,P38_R5,P38_R6,P39_R1,P39_R2,P39_R3,P39_R4,P39_R5,P39_R6,P40_R1,P40_R2,P40_R3,P40_R4,P40_R5,P40_R6,P41_R1,P41_R2,P41_R3,P41_R4,P41_R5,P41_R6,P42_R1,P42_R2,P42_R3,P42_R4,P42_R5,P42_R6,P43_R1,P43_R2,P43_R3,P43_R4,P43_R5,P43_R6,P44_R1,P44_R2,P44_R3,P44_R4,P44_R5,P44_R6,P45_R1,P45_R2,P45_R3,P45_R4,P45_R5,P45_R6,P46_R1,P46_R2,P46_R3,P46_R4,P46_R5,P46_R6,P47_R1,P47_R2,P47_R3,P47_R4,P47_R5,P47_R6,P48_R1,P48_R2,P48_R3,P48_R4,P48_R5,P48_R6,P49_R1,P49_R2,P49_R3,P49_R4,P49_R5,P49_R6,P50_R1,P50_R2,P50_R3,P50_R4,P50_R5,P50_R6,P51_R1,P51_R2,P51_R3,P51_R4,P51_R5,P51_R6,P52_R1,P52_R2,P52_R3,P52_R4,P52_R5,P52_R6,P53_R1,P53_R2,P53_R3,P53_R4,P53_R5,P53_R6,P54_R1,P54_R2,P54_R3,P54_R4,P54_R5,P54_R6,P55_R1,P55_R2,P55_R3,P55_R4,P55_R5,P55_R6,P56_R1,P56_R2,P56_R3,P56_R4,P56_R5,P56_R6,P57_R1,P57_R2,P57_R3,P57_R4,P57_R5,P57_R6,P58_R1,P58_R2,P58_R3,P58_R4,P58_R5,P58_R6,P59_R1,P59_R2,P59_R3,P59_R4,P59_R5,P59_R6,P60_R1,P60_R2,P60_R3,P60_R4,P60_R5,P60_R6,P61_R1,P61_R2,P61_R3,P61_R4,P61_R5,P61_R6,P62_R1,P62_R2,P62_R3,P62_R4,P62_R5,P62_R6,P63_R1,P63_R2,P63_R3,P63_R4,P63_R5,P63_R6,P64_R1,P64_R2,P64_R3,P64_R4,P64_R5,P64_R6,P65_R1,P65_R2,P65_R3,P65_R4,P65_R5,P65_R6,P66_R1,P66_R2,P66_R3,P66_R4,P66_R5,P66_R6,P67_R1,P67_R2,P67_R3,P67_R4,P67_R5,P67_R6,P68_R1,P68_R2,P68_R3,P68_R4,P68_R5,P68_R6,P69_R1,P69_R2,P69_R3,P69_R4,P69_R5,P69_R6,P70_R1,P70_R2,P70_R3,P70_R4,P70_R5,P70_R6,P71_R1,P71_R2,P71_R3,P71_R4,P71_R5,P71_R6,P72_R1,P72_R2,P72_R3,P72_R4,P72_R5,P72_R6,P73_R1,P73_R2,P73_R3,P73_R4,P73_R5,P73_R6,P74_R1,P74_R2,P74_R3,P74_R4,P74_R5,P74_R6,P75_R1,P75_R2,P75_R3,P75_R4,P75_R5,P75_R6,P76_R1,P76_R2,P76_R3,P76_R4,P76_R5,P76_R6,P77_R1,P77_R2,P77_R3,P77_R4,P77_R5,P77_R6,P78_R1,P78_R2,P78_R3,P78_R4,P78_R5,P78_R6
1,0,25,8,8,9,1,0,38,13,30,12,0,0,12,4,5,3,0,0,17,6,19,6,0,0,11,4,5,4,0,0,18,6,20,6,0,0,11,4,5,4,0,0,18,7,20,6,0,0,13,4,5,3,0,0,17,6,20,6,0,0,12,4,5,4,0,0,18,6,20,5,0,0,12,4,5,4,0,0,19,6,19,6,0,0,12,4,5,4,0,0,17,6,21,6,0,0,12,4,5,4,0,0,18,7,20,7,0,0,10,4,5,4,0,0,18,5,20,6,0,0,13,4,5,4,0,0,19,6,20,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,13,4,5,4,0,0,17,6,20,7,0,0,12,4,5,4,0,0,19,6,21,6,0,0,13,4,5,5,0,0,17,6,20,6,0,0,11,4,5,4,0,0,17,7,19,6,0,0,13,4,5,4,0,0,17,6,20,6,0,0,11,4,5,4,0,0,18,6,20,6,0,0,12,4,6,4,0,0,17,6,19,6,0,0,13,4,5,4,0,0,19,7,20,6,0,0,11,4,5,4,0,0,18,6,20,6,0,0,12,5,5,4,0,0,17,6,20,6,0,0,12,4,5,3,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,13,4,5,4,0,0,18,6,20,7,0,0,12,4,5,4,0,0,18,6,19,6,0,0,12,4,6,3,0,0,18,5,20,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,13,4,4,4,0,0,18,6,19,6,0,0,12,4,5,4,0,0,18,6,21,6,0,0,11,4,6,4,0,0,17,6,21,6,0,0,12,4,5,4,0,0,16,6,20,6,0,0,26,7,0,8,0,9,33,14,0,12,0,7,36,11,0,12,0,7,37,14,0,10,0,5,36,13,0,12,0,6,35,11,0,13,0,6,38,12,0,13,0,6,35,13,0,13,0,7,39,11,0,13,0,6,38,13,0,13,0,7,37,12,0,12,0,7,49,15,0,19,0,0
1,1,22,9,8,8,1,0,35,12,29,13,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,17,6,20,6,0,0,13,4,5,4,0,0,17,6,20,6,0,0,11,4,6,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,6,21,7,0,0,11,4,5,5,0,0,17,6,20,5,0,0,12,4,5,4,0,0,19,6,20,6,0,0,12,4,6,4,0,0,18,5,21,6,0,0,13,3,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,17,5,21,6,0,0,12,5,5,4,0,0,18,7,21,6,0,0,13,4,5,4,0,0,18,6,19,6,0,0,11,4,5,5,0,0,18,7,19,5,0,0,12,4,5,3,0,0,18,6,20,6,0,0,11,4,5,4,0,0,19,6,20,6,0,0,11,4,5,4,0,0,17,7,20,6,0,0,12,4,5,4,0,0,19,6,20,6,0,0,10,3,5,5,0,0,18,6,20,7,0,0,13,4,5,3,0,0,18,6,19,6,0,0,11,5,5,4,0,0,19,6,19,7,0,0,12,4,5,4,0,0,17,6,21,6,0,0,12,4,5,4,0,0,17,6,19,6,0,0,12,4,5,4,0,0,19,6,19,6,0,0,13,3,5,4,0,0,18,6,19,5,0,0,12,4,5,4,0,0,17,6,19,6,0,0,12,4,5,4,0,0,18,6,19,6,0,0,13,3,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,4,6,4,0,0,18,6,20,5,0,0,11,3,5,4,0,0,19,6,20,6,0,0,11,4,5,4,0,0,19,6,20,6,0,0,14,4,5,4,0,0,17,6,19,6,0,0,24,8,0,8,0,8,35,11,0,11,0,7,34,13,0,14,0,8,34,10,0,10,0,7,36,12,0,10,0,7,36,13,0,13,0,6,37,15,0,14,0,6,34,12,0,12,0,5,39,12,0,11,0,5,38,12,0,10,0,6,40,12,0,10,0,6,42,16,0,16,0,0
1,2,27,9,7,7,1,0,36,12,30,12,0,0,12,4,5,4,0,0,18,6,20,7,0,0,10,4,5,3,0,0,18,6,19,6,0,0,11,5,5,4,0,0,18,6,20,6,0,0,11,4,5,4,0,0,18,6,20,6,0,0,11,4,5,4,0,0,18,6,21,6,0,0,12,4,5,4,0,0,17,6,19,7,0,0,11,5,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,5,19,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,3,5,4,0,0,18,6,21,6,0,0,11,4,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,17,6,19,7,0,0,12,4,5,4,0,0,18,6,22,6,0,0,13,4,5,5,0,0,18,7,20,6,0,0,12,4,5,3,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,6,21,6,0,0,12,3,5,4,0,0,18,6,19,6,0,0,12,4,5,4,0,0,19,6,20,6,0,0,12,4,5,4,0,0,19,6,20,6,0,0,13,4,5,4,0,0,18,6,20,6,0,0,12,4,6,4,0,0,18,6,21,6,0,0,12,4,5,4,0,0,17,6,20,6,0,0,13,4,5,4,0,0,18,6,19,6,0,0,12,4,5,5,0,0,18,6,20,6,0,0,12,4,5,4,0,0,17,6,20,6,0,0,12,3,6,5,0,0,18,6,20,6,0,0,12,5,5,4,0,0,17,6,20,7,0,0,12,4,5,4,0,0,20,6,20,6,0,0,12,5,5,4,0,0,18,6,21,6,0,0,13,4,5,4,0,0,18,6,21,6,0,0,12,4,5,4,0,0,18,6,19,6,0,0,12,5,5,4,0,0,18,7,20,6,0,0,25,8,0,8,0,9,34,12,0,11,0,6,35,13,0,14,0,6,40,10,0,9,0,6,34,13,0,12,0,6,38,13,0,12,0,6,33,11,0,12,0,6,37,10,0,14,0,7,37,13,0,13,0,7,39,12,0,13,0,8,35,14,0,12,0,7,47,17,0,15,0,0
1,3,21,8,6,7,1,0,37,11,30,12,0,0,11,5,5,4,0,0,18,6,19,6,0,0,12,4,5,5,0,0,18,6,20,6,0,0,13,4,5,4,0,0,18,6,20,6,0,0,12,4,5,5,0,0,18,7,20,6,0,0,12,4,5,4,0,0,18,6,21,7,0,0,12,4,5,4,0,0,17,6,19,6,0,0,12,4,6,4,0,0,17,6,21,7,0,0,12,4,5,4,0,0,19,6,19,6,0,0,13,4,5,4,0,0,18,6,20,6,0,0,13,4,5,4,0,0,16,6,19,6,0,0,11,4,5,4,0,0,18,6,20,6,0,0,11,4,5,3,0,0,18,7,21,6,0,0,12,4,6,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,11,4,5,4,0,0,16,7,20,6,0,0,11,4,5,4,0,0,19,6,20,6,0,0,12,4,5,5,0,0,18,6,21,6,0,0,13,4,5,5,0,0,17,6,19,6,0,0,12,4,5,5,0,0,18,6,21,6,0,0,11,4,5,4,0,0,19,6,20,6,0,0,12,4,5,5,0,0,17,6,19,6,0,0,11,5,5,4,0,0,20,6,20,5,0,0,14,4,4,4,0,0,20,6,20,6,0,0,13,4,5,4,0,0,18,6,20,5,0,0,12,4,5,4,0,0,19,6,19,6,0,0,13,4,5,4,0,0,17,6,19,6,0,0,12,3,5,4,0,0,18,6,21,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,13,4,5,4,0,0,19,6,21,6,0,0,12,4,6,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,19,6,19,6,0,0,14,4,6,5,0,0,18,6,21,6,0,0,24,8,0,7,0,7,36,11,0,12,0,7,38,9,0,12,0,6,40,13,0,11,0,7,36,13,0,11,0,6,36,11,0,11,0,7,37,11,0,12,0,7,41,13,0,12,0,7,36,13,0,13,0,6,32,13,0,11,0,7,41,12,0,13,0,7,50,16,0,16,0,0
1,4,23,9,7,7,1,0,36,12,31,12,0,0,12,4,5,4,0,0,18,6,19,6,0,0,12,4,5,4,0,0,18,6,20,5,0,0,11,4,5,4,0,0,19,6,20,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,16,6,19,6,0,0,11,3,5,4,0,0,18,5,20,6,0,0,11,4,5,4,0,0,18,6,21,6,0,0,12,4,5,4,0,0,18,7,19,5,0,0,13,4,5,4,0,0,18,7,20,6,0,0,13,4,5,4,0,0,19,7,20,6,0,0,12,4,6,4,0,0,18,6,19,6,0,0,13,4,5,4,0,0,19,6,21,6,0,0,11,5,5,4,0,0,19,6,20,7,0,0,12,4,5,4,0,0,19,6,20,6,0,0,12,4,5,3,0,0,19,6,20,6,0,0,12,4,5,4,0,0,18,6,20,7,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,7,20,7,0,0,12,3,5,4,0,0,19,6,20,6,0,0,12,4,5,4,0,0,19,6,19,6,0,0,13,4,5,4,0,0,17,6,20,6,0,0,11,4,5,4,0,0,19,6,20,6,0,0,11,3,4,4,0,0,18,7,20,6,0,0,13,5,6,4,0,0,19,6,21,6,0,0,11,4,5,4,0,0,18,6,20,6,0,0,11,4,5,3,0,0,18,6,21,6,0,0,11,5,5,4,0,0,18,6,20,6,0,0,13,5,5,4,0,0,18,5,20,6,0,0,12,3,5,4,0,0,17,5,20,7,0,0,13,4,5,4,0,0,17,6,21,6,0,0,12,4,5,4,0,0,18,6,21,6,0,0,13,4,5,4,0,0,16,6,20,6,0,0,24,8,0,7,0,9,33,12,0,10,0,7,33,14,0,11,0,7,38,11,0,12,0,7,36,12,0,11,0,6,30,13,0,13,0,6,37,15,0,12,0,6,39,11,0,11,0,6,36,14,0,12,0,6,33,13,0,12,0,9,37,11,0,11,0,7,45,17,0,15,0,0
1,5,26,8,8,8,1,0,35,12,31,12,0,0,12,4,5,5,0,0,17,6,21,6,0,0,12,4,5,4,0,0,19,6,22,6,0,0,12,4,5,4,0,0,18,6,21,6,0,0,13,4,5,3,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,6,19,7,0,0,12,4,6,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,19,6,20,6,0,0,12,4,5,4,0,0,19,6,20,6,0,0,13,4,5,4,0,0,18,5,21,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,19,6,21,6,0,0,12,4,5,4,0,0,17,6,19,6,0,0,13,4,5,4,0,0,19,6,20,6,0,0,12,4,5,3,0,0,18,6,19,6,0,0,13,4,5,5,0,0,19,7,20,6,0,0,11,4,5,5,0,0,18,6,20,6,0,0,13,4,5,4,0,0,17,6,20,6,0,0,12,4,5,3,0,0,19,6,19,6,0,0,11,4,5,3,0,0,18,6,20,6,0,0,11,4,5,4,0,0,18,7,20,6,0,0,11,3,4,4,0,0,18,5,21,6,0,0,12,5,5,4,0,0,17,5,20,6,0,0,11,4,5,4,0,0,18,6,20,6,0,0,13,4,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,6,19,6,0,0,12,4,5,4,0,0,17,6,20,6,0,0,13,4,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,17,6,19,6,0,0,13,4,5,4,0,0,18,6,21,6,0,0,13,4,5,3,0,0,17,6,21,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,24,8,0,8,0,8,35,14,0,13,0,7,35,14,0,12,0,7,33,10,0,10,0,8,41,13,0,13,0,6,34,11,0,12,0,5,38,11,0,12,0,6,31,12,0,13,0,6,37,11,0,12,0,6,37,13,0,13,0,7,35,12,0,12,0,6,49,16,0,18,0,0
1,6,22,9,7,8,1,0,33,14,31,12,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,4,5,3,0,0,18,6,20,6,0,0,13,4,5,4,0,0,17,6,20,6,0,0,13,4,5,4,0,0,18,6,21,6,0,0,13,4,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,17,6,20,6,0,0,12,4,4,4,0,0,17,6,21,6,0,0,12,3,5,4,0,0,18,6,21,6,0,0,10,4,6,4,0,0,18,6,21,6,0,0,12,4,5,5,0,0,18,6,20,5,0,0,12,4,5,4,0,0,17,6,20,6,0,0,12,4,5,4,0,0,18,6,19,6,0,0,12,4,5,4,0,0,19,6,20,6,0,0,12,4,4,4,0,0,19,6,21,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,4,5,3,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,6,21,6,0,0,12,4,4,4,0,0,18,6,19,6,0,0,11,5,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,6,18,6,0,0,14,4,5,4,0,0,18,6,19,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,5,5,4,0,0,18,6,20,6,0,0,12,4,4,4,0,0,18,5,20,7,0,0,12,4,5,4,0,0,18,6,21,6,0,0,11,4,5,4,0,0,19,6,19,6,0,0,12,4,5,4,0,0,18,6,19,7,0,0,11,4,6,4,0,0,18,6,20,6,0,0,11,5,5,4,0,0,18,6,19,6,0,0,13,4,5,4,0,0,18,6,20,6,0,0,13,4,5,4,0,0,17,6,21,6,0,0,12,4,5,4,0,0,19,6,20,6,0,0,24,8,0,9,0,8,35,13,0,12,0,7,39,11,0,10,0,6,38,9,0,13,0,7,36,11,0,11,0,7,37,15,0,10,0,7,34,10,0,12,0,7,39,10,0,12,0,7,38,11,0,9,0,7,37,14,0,11,0,7,32,12,0,11,0,7,47,15,0,16,0,0
1,7,22,8,7,8,1,0,35,13,29,12,0,0,12,4,5,4,0,0,19,7,21,6,0,0,11,4,5,4,0,0,19,6,19,6,0,0,11,4,5,5,0,0,20,6,20,6,0,0,13,4,6,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,19,6,21,6,0,0,12,4,5,4,0,0,19,6,20,5,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,4,5,3,0,0,19,6,19,6,0,0,12,4,5,4,0,0,17,6,20,6,0,0,12,3,5,4,0,0,17,5,21,6,0,0,13,4,4,4,0,0,19,6,20,6,0,0,12,4,5,4,0,0,17,6,20,6,0,0,11,4,5,4,0,0,17,6,19,6,0,0,13,3,5,4,0,0,18,6,19,6,0,0,11,4,5,4,0,0,18,6,20,7,0,0,13,4,5,4,0,0,17,6,21,6,0,0,11,4,5,4,0,0,18,6,19,6,0,0,13,4,5,3,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,13,4,4,5,0,0,19,6,20,6,0,0,12,4,5,4,0,0,18,6,19,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,19,6,20,6,0,0,12,4,6,4,0,0,17,6,20,6,0,0,13,4,5,4,0,0,19,7,19,6,0,0,13,4,5,4,0,0,17,6,20,6,0,0,13,4,5,4,0,0,18,6,20,6,0,0,13,4,5,4,0,0,17,7,21,6,0,0,11,4,5,4,0,0,18,6,20,6,0,0,11,4,5,4,0,0,20,6,20,6,0,0,12,4,5,5,0,0,17,6,19,6,0,0,11,4,5,4,0,0,19,6,20,6,0,0,23,8,0,8,0,8,33,11,0,13,0,6,32,14,0,13,0,7,30,12,0,12,0,6,36,11,0,12,0,6,34,13,0,13,0,7,33,12,0,12,0,6,39,13,0,12,0,7,37,12,0,14,0,6,33,12,0,11,0,7,35,12,0,12,0,5,47,16,0,18,0,0
1,8,21,8,7,7,1,0,35,11,31,13,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,13,4,5,4,0,0,18,6,20,6,0,0,13,4,5,4,0,0,17,6,21,6,0,0,11,4,5,4,0,0,18,6,20,6,0,0,11,5,5,4,0,0,18,6,19,6,0,0,12,4,5,4,0,0,18,6,20,6,0,0,13,4,5,4,0,0,18,6,20,6,0,0,11,3,5,3,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,5,21,6,0,0,11,4,5,4,0,0,18,6,21,6,0,0,12,4,5,4,0,0,19,6,20,6,0,0,12,4,5,5,0,0,17,7,20,6,0,0,12,3,5,4,0,0,18,6,21,6,0,0,11,4,6,4,0,0,19,6,20,6,0,0,13,5,5,4,0,0,19,6,20,6,0,0,13,4,5,4,0,0,18,6,18,6,0,0,12,4,5,4,0,0,19,7,20,6,0,0,12,4,5,4,0,0,17,6,20,6,0,0,13,4,5,4,0,0,18,6,20,6,0,0,12,4,5,3,0,0,18,6,20,6,0,0,12,4,5,4,0,0,17,6,20,6,0,0,11,4,5,4,0,0,18,6,20,6,0,0,12,4,5,3,0,0,18,6,20,7,0,0,12,4,5,3,0,0,18,6,21,6,0,0,12,4,6,4,0,0,19,6,20,6,0,0,12,3,5,4,0,0,18,6,20,7,0,0,13,4,5,4,0,0,17,6,21,6,0,0,12,4,6,5,0,0,19,6,20,5,0,0,13,4,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,19,6,20,6,0,0,13,4,5,4,0,0,17,6,20,6,0,0,23,7,0,8,0,8,37,9,0,11,0,6,34,11,0,12,0,5,32,11,0,13,0,6,35,14,0,11,0,7,32,13,0,12,0,9,32,14,0,12,0,7,35,11,0,12,0,7,35,10,0,11,0,6,37,11,0,13,0,8,36,13,0,12,0,6,50,16,0,16,0,0
1,9,24,8,8,9,1,0,35,11,31,13,0,0,13,4,5,3,0,0,18,6,20,6,0,0,12,4,5,4,0,0,16,6,19,6,0,0,13,4,6,4,0,0,19,6,20,6,0,0,11,4,5,4,0,0,17,6,20,6,0,0,12,3,5,3,0,0,18,6,21,6,0,0,12,4,5,4,0,0,18,6,21,6,0,0,12,3,5,4,0,0,18,6,22,7,0,0,12,4,5,4,0,0,18,6,19,6,0,0,12,3,5,4,0,0,19,6,19,6,0,0,11,4,5,4,0,0,19,6,19,6,0,0,13,3,4,4,0,0,18,6,20,6,0,0,13,3,5,4,0,0,18,6,20,5,0,0,12,4,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,18,6,19,6,0,0,12,4,5,4,0,0,18,6,19,7,0,0,11,4,5,4,0,0,18,6,20,6,0,0,12,3,5,5,0,0,18,6,20,6,0,0,13,4,6,4,0,0,19,6,20,6,0,0,12,4,5,3,0,0,17,6,20,6,0,0,13,3,5,3,0,0,19,6,20,6,0,0,13,4,5,4,0,0,18,6,21,7,0,0,13,4,5,4,0,0,18,6,19,6,0,0,12,4,5,4,0,0,18,6,19,6,0,0,13,4,5,4,0,0,18,6,20,5,0,0,13,4,5,4,0,0,18,5,21,6,0,0,12,4,5,4,0,0,18,6,19,6,0,0,12,4,5,4,0,0,18,6,19,6,0,0,12,3,5,4,0,0,17,6,20,6,0,0,12,4,5,4,0,0,18,6,19,6,0,0,12,4,5,4,0,0,18,6,21,6,0,0,11,4,5,4,0,0,18,6,20,6,0,0,12,4,5,4,0,0,19,6,21,6,0,0,25,10,0,8,0,7,37,9,0,12,0,7,37,12,0,14,0,6,34,13,0,13,0,7,34,14,0,14,0,8,33,11,0,11,0,6,38,14,0,13,0,6,34,14,0,13,0,6,32,11,0,15,0,7,38,10,0,12,0,7,42,10,0,13,0,7,49,15,0,16,0,0
