Day,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0.01,0.02,0.02,0.03,0.01,0.05,0.06,0.1,0.08,0.1,0.1,0.12,0.15,0.15
2,0.0229,0.0383,0.0456,0.0436,0.0422,0.0615,0.0804,0.0832,0.0808,0.1015,0.0926,0.1087,0.0981,0.1006
3,0.032,0.0477,0.0552,0.0497,0.0513,0.0687,0.0845,0.081,0.0794,0.0938,0.0876,0.0982,0.0848,0.0862
4,0.0358,0.052,0.0592,0.0527,0.0549,0.0719,0.0857,0.0806,0.0782,0.0905,0.0848,0.0935,0.0799,0.0804
5,0.0374,0.0538,0.0609,0.054,0.0563,0.0732,0.0861,0.0805,0.0777,0.089,0.0836,0.0915,0.0778,0.078
6,0.038,0.0546,0.0616,0.0546,0.057,0.0738,0.0863,0.0805,0.0775,0.0884,0.083,0.0906,0.077,0.077
7,0.0383,0.055,0.0619,0.0549,0.0572,0.0741,0.0864,0.0805,0.0774,0.0881,0.0828,0.0903,0.0766,0.0766
8,0.0385,0.0551,0.0621,0.055,0.0573,0.0742,0.0864,0.0805,0.0773,0.088,0.0827,0.0901,0.0764,0.0764
9,0.0385,0.0552,0.0621,0.055,0.0574,0.0742,0.0864,0.0805,0.0773,0.088,0.0827,0.09,0.0764,0.0763
10,0.0385,0.0552,0.0621,0.055,0.0574,0.0742,0.0864,0.0805,0.0773,0.088,0.0827,0.09,0.0763,0.0763
11,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0827,0.09,0.0763,0.0763
12,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0827,0.09,0.0763,0.0763
13,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0827,0.09,0.0763,0.0763
14,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0827,0.09,0.0763,0.0763
15,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
16,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
17,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
18,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
19,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
20,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
21,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
22,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
23,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
24,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
25,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
26,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
27,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
28,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
29,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
30,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
