Day,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.03,0.04,0.07,0.05,0.05,0.1,0.12,0.08,0.07,0.07,0.12,0.1,0.05,0.05
2,0.037,0.0549,0.0634,0.0537,0.0586,0.0768,0.0899,0.0805,0.077,0.086,0.0861,0.0899,0.0735,0.0727
3,0.0386,0.0553,0.0624,0.055,0.0578,0.0747,0.0869,0.0804,0.0772,0.0876,0.0829,0.0898,0.0758,0.0757
4,0.0386,0.0553,0.0623,0.0551,0.0575,0.0743,0.0865,0.0805,0.0773,0.0879,0.0826,0.0899,0.0762,0.0761
5,0.0386,0.0553,0.0622,0.0551,0.0575,0.0743,0.0864,0.0805,0.0773,0.0879,0.0826,0.0899,0.0763,0.0762
6,0.0386,0.0552,0.0622,0.0551,0.0574,0.0743,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
7,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
8,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
9,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
10,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
11,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
12,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
13,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
14,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
15,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
16,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
17,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
18,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
19,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
20,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
21,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
22,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
23,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
24,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
25,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
26,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
27,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
28,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
29,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
30,0.0385,0.0552,0.0622,0.0551,0.0574,0.0742,0.0864,0.0805,0.0773,0.0879,0.0826,0.09,0.0763,0.0763
